,data,denominazione_regione,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,total_positives,discharged_healed,deceased,total_cases,swabs
891,2020-04-08,Piemonte,0,0,0,354,285,196,59,540,4374
892,2020-04-08,Puglia,24,0,21,80,101,9,10,120,1344
893,2020-04-08,Sardegna,0,5,0,24,19,14,7,40,813
894,2020-04-08,Sicilia,1,0,0,41,34,20,8,62,2581
895,2020-04-08,Toscana,0,0,0,154,130,53,23,206,4334
896,2020-04-08,Trentino-Alto Adige,0,0,0,93,30,100,20,150,2332
897,2020-04-08,Umbria,0,0,0,0,0,48,1,26,831
898,2020-04-08,Valle d'Aosta,2,3,5,8,13,0,2,15,199
899,2020-04-08,Veneto,0,0,0,243,206,238,41,485,9705
900,2020-04-09,Abruzzo,0,0,0,62,32,25,15,72,1001
901,2020-04-09,Basilicata,2,0,2,3,5,0,1,6,178
902,2020-04-09,Calabria,0,0,0,12,10,4,1,15,721
903,2020-04-09,Campania,0,0,0,21,14,56,6,76,1880
904,2020-04-09,Emilia-Romagna,0,0,0,201,148,213,82,443,3348
905,2020-04-09,Friuli Venezia Giulia,5,0,1,0,0,104,2,81,1407
906,2020-04-09,Lazio,3,2,5,79,84,70,9,163,2994
907,2020-04-09,Liguria,0,1,0,13,8,78,28,114,925
908,2020-04-09,Lombardia,77,0,56,473,529,559,300,1388,9396
909,2020-04-09,Marche,0,0,0,0,0,240,17,96,662
